transaction_id,date,supplier_id,supplier_name,category,sub_category,amount,department,cost_center,invoice_number,payment_terms
TXN-001,2024-01-08,SUP-001,TechPro Solutions,IT & Software,Software Licences,12500.00,IT,CC-003,INV-TP-2401,NET30
TXN-002,2024-01-09,SUP-002,CloudBase Ltd,IT & Software,Cloud Infrastructure,8900.00,IT,CC-003,INV-CB-2401,NET30
TXN-003,2024-01-10,SUP-006,CleanRight FM,Facilities Management,Cleaning Services,4200.00,Operations,CC-001,INV-CR-240110,NET60
TXN-004,2024-01-11,SUP-013,McKay Advisory,Professional Services,Strategy Consulting,18000.00,Finance,CC-002,INV-MK-240111,NET45
TXN-005,2024-01-12,SUP-010,MediaEdge Agency,Marketing & Comms,Digital Advertising,9500.00,Marketing,CC-005,INV-ME-240112,NET30
TXN-006,2024-01-15,SUP-016,TalentBridge,HR & Recruitment,Recruitment Fees,6800.00,HR,CC-004,INV-TB-240115,NET30
TXN-007,2024-01-16,SUP-018,GlobalTravel Corp,Travel & Expenses,Business Travel,3200.00,Sales,CC-006,INV-GT-240116,NET30
TXN-008,2024-01-17,SUP-007,BuildServ Ltd,Facilities Management,Maintenance & Repair,7600.00,Operations,CC-001,INV-BS-240117,NET60
TXN-009,2024-01-18,SUP-003,DataSec International,IT & Software,Cybersecurity,5500.00,IT,CC-003,INV-DS-240118,NET30
TXN-010,2024-01-19,SUP-014,Stratford Partners,Professional Services,Financial Advisory,14500.00,Finance,CC-002,INV-SP-240119,NET45
TXN-011,2024-01-22,SUP-011,Brand Connect Ltd,Marketing & Comms,Brand Strategy,7200.00,Marketing,CC-005,INV-BC-240122,NET30
TXN-012,2024-01-23,SUP-017,HRPro Services,HR & Recruitment,HR Outsourcing,5100.00,HR,CC-004,INV-HP-240123,NET30
TXN-013,2024-01-24,SUP-001,TechPro Solutions,IT & Software,Hardware,3800.00,IT,CC-003,INV-TP-2402,NET30
TXN-014,2024-01-25,SUP-006,CleanRight FM,Facilities Management,Cleaning Services,4200.00,Operations,CC-001,INV-CR-240125,NET60
TXN-015,2024-01-26,SUP-019,ExecutiveFlight Ltd,Travel & Expenses,Air Travel,4800.00,Finance,CC-002,INV-EF-240126,NET30
TXN-016,2024-01-29,SUP-004,SoftEdge AG,IT & Software,ERP Customisation,9200.00,IT,CC-003,INV-SE-240129,NET30
TXN-017,2024-01-30,SUP-013,McKay Advisory,Professional Services,Market Research,11000.00,Finance,CC-002,INV-MK-240130,NET45
TXN-018,2024-02-01,SUP-002,CloudBase Ltd,IT & Software,Cloud Infrastructure,9100.00,IT,CC-003,INV-CB-2402,NET30
TXN-019,2024-02-02,SUP-010,MediaEdge Agency,Marketing & Comms,Digital Advertising,11200.00,Marketing,CC-005,INV-ME-240202,NET30
TXN-020,2024-02-05,SUP-007,BuildServ Ltd,Facilities Management,HVAC Maintenance,5800.00,Operations,CC-001,INV-BS-240205,NET60
TXN-021,2024-02-06,SUP-015,ConsultCo Ltd,Professional Services,Project Management,8500.00,Finance,CC-002,INV-CC-240206,NET30
TXN-022,2024-02-07,SUP-016,TalentBridge,HR & Recruitment,Recruitment Fees,7200.00,HR,CC-004,INV-TB-240207,NET30
TXN-023,2024-02-08,SUP-018,GlobalTravel Corp,Travel & Expenses,Business Travel,2900.00,Operations,CC-001,INV-GT-240208,NET30
